"det_Name","det_Team","Age","G","AB","PA","wRC+","playerid"
"Chris Davis","Orioles","33","105","307","352","58","9272"
"Erik Gonzalez","Pirates","27","53","142","156","59","13369"
"Pablo Reyes","Pirates","25","71","143","157","58","16357"
"Nicky Lopez","Royals","24","103","379","402","56","19339"
"John Hicks","Tigers","29","95","319","333","56","12547"
"Jace Peterson","Orioles","29","29","100","108","55","12325"
"Juan Lagares","Mets","30","133","258","285","60","5384"
"Jung Ho Kang","Pirates","32","65","172","185","55","17182"
"Charlie Tilson","White Sox","26","54","144","157","57","12983"
"Carlos Gonzalez","- - -","33","45","145","166","51","7287"
"Richie Martin Jr.","Orioles","24","120","283","309","50","17736"
"Billy Hamilton","- - -","28","119","316","353","50","10199"
"J.T. Riddle","Marlins","27","51","132","139","54","17642"
"Isan Diaz","Marlins","23","49","179","201","53","17922"
"Travis Shaw","Brewers","29","86","230","270","47","11982"
"Bubba Starling","Royals","26","56","186","197","47","13356"
"Lucas Duda","Royals","33","39","105","119","46","2502"
"Martin Prado","Marlins","35","104","245","260","49","3312"
"Austin Hedges","Padres","26","102","312","347","47","12976"
"Grayson Greiner","Tigers","26","58","208","224","45","17062"
"Jose Rondon","- - -","25","56","143","157","47","14140"
"Scooter Gennett","- - -","29","42","133","139","44","10339"
"Sandy Leon","Red Sox","30","65","172","191","40","5273"
"Daniel Descalso","Cubs","32","82","168","194","42","8392"
"Meibrys Viloria","Royals","22","42","133","148","40","17109"
"Mike Zunino","Rays","28","90","266","289","45","13265"
"Eduardo Nunez","Red Sox","32","60","167","174","35","6848"
"Mac Williamson","- - -","28","40","128","144","42","14158"
"Keon Broxton","- - -","29","100","204","228","38","9253"
"Tomas Nido","Mets","25","50","136","144","40","13755"
"Jedd Gyorko","- - -","30","62","92","101","36","10816"
"Humberto Arteaga","Royals","25","41","122","135","30","13595"
"Yonathan Daza","Rockies","25","44","97","105","17","15794"
"Jake Rogers","Tigers","24","35","112","128","27","19452"
"Josh Harrison","Tigers","31","36","137","147","22","8202"
"Lewis Brinson","Marlins","25","75","226","248","25","14352"
"Chris Owings","- - -","27","67","180","196","13","10030"
"Luke Maile","Blue Jays","28","45","119","129","14","13355"
"Nick Williams","Phillies","25","67","106","112","12","14330"
"Jeff Mathis","Rangers","36","88","228","244","2","3448"
"Max Stassi","- - -","28","51","132","147","5","10059"
"Zack Cozart","Angels","33","38","97","107","-14","2616"
